state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,commodity_code,price_spread
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-20,7199,8277,7738,39,539
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-21,7119,8150,7634,39,515
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-21,6149,7369,6759,39,610
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-22,6989,7719,7439,39,450
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-22,7099,8077,7777,39,678
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-25,6289,7639,6964,39,675
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-25,6299,7985,7142,39,843
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-26,6266,7599,6932,39,666
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-26,6600,7600,7100,39,500
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-05-27,6399,7819,7109,39,710
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-05-27,6367,7610,6988,39,621
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-01,6369,7349,6859,39,490
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-01,6199,7269,6734,39,535
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-02,6260,7519,6889,39,629
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-02,6196,7319,6757,39,561
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-03,6284,7681,7411,39,1127
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-03,6190,7369,6969,39,779
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-04,6299,7309,6804,39,505
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-04,6319,7541,6930,39,611
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-08,7220,8217,7908,39,688
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-08,6299,7312,7037,39,738
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-09,6099,7051,6575,39,476
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-09,6100,7400,6700,39,600
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-10,6069,7319,7018,39,949
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-10,6300,7900,7700,39,1400
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-11,6066,6940,6503,39,437
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-11,6069,7249,7099,39,1030
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-12,6399,7039,6849,39,450
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-12,6514,7675,7381,39,867
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-15,6099,7065,6587,39,488
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-15,6269,7677,6973,39,704
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-16,6630,7516,7289,39,659
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-16,6199,7055,6785,39,586
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-17,6069,7599,6849,39,780
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-17,6009,7170,6589,39,580
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-18,6100,7211,6656,39,556
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-18,6189,7686,6838,39,649
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-19,6119,7009,6564,39,445
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-19,6169,7579,6874,39,705
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-23,5589,6939,6036,39,447
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-23,6169,7366,6767,39,598
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-24,5369,6413,5891,39,522
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-24,5906,6916,6411,39,505
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-25,6400,7364,7019,39,619
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-25,6214,7019,6862,39,648
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-26,6339,7311,6825,39,486
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-26,6239,7037,6638,39,399
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-29,6099,7356,6728,39,629
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-29,6019,6697,6358,39,339
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-06-30,6156,7319,6737,39,581
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-06-30,6069,6837,6453,39,384
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-01,6199,7599,6899,39,700
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-01,6169,6773,6471,39,302
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-02,6146,7165,6885,39,739
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-02,6299,7589,7138,39,839
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-03,6139,7185,6662,39,523
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-03,6399,7855,7127,39,728
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-06,6139,6744,6441,39,302
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-06,6249,7437,6843,39,594
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-07,6137,6699,6418,39,281
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-07,6199,7600,6899,39,700
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-08,6189,7113,6895,39,706
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-08,6349,7689,7231,39,882
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-09,6359,7477,7099,39,740
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-09,6239,7079,6777,39,538
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-10,7060,7969,7515,39,455
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-10,6386,7269,6828,39,442
Tamil Nadu,Erode,Punchaipuliyampatti,Turmeric,Other,FAQ,2015-07-14,5300,5800,5350,39,50
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-14,6299,7885,7092,39,793
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-14,6199,7285,6742,39,543
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-15,6229,7929,7685,39,1456
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-15,6219,7449,7187,39,968
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-16,6269,7989,7129,39,860
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-16,6169,7327,6748,39,579
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-17,6099,6877,6488,39,389
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-17,6009,6444,6226,39,217
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-07-31,6699,7700,7520,39,821
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-07-31,6437,7120,6799,39,362
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-08-04,6698,7917,7617,39,919
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-08-04,6287,7181,6737,39,450
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-08-05,6669,7739,7404,39,735
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-08-05,6468,7329,6937,39,469
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-08-06,6677,7809,7459,39,782
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-08-06,6367,7139,6799,39,432
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-08-10,6109,6899,6423,39,314
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-08-10,6569,7601,7209,39,640
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-08-11,6519,7459,7029,39,510
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-08-11,6319,7137,6799,39,480
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-08-14,6260,7055,6789,39,529
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-08-14,6681,7759,7419,39,738
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-08-17,6369,7199,6799,39,430
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-08-17,6439,7359,7090,39,651
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-08-18,6219,7199,6899,39,680
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-08-18,6465,7589,7229,39,764
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-08-19,6569,7639,7369,39,800
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-08-19,6289,7099,6869,39,580
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-08-20,6369,7189,6899,39,530
